synonym	primary
SHROOM3	SHROOM3
AKR7L	AKR7L
H2BC1	H2BC1
TNFRSF17	TNFRSF17
C16orf54	C16orf54
POP5	POP5
POMK	POMK
EBLN2	EBLN2
AQP9	AQP9
RBP5	RBP5
FKBP1B	FKBP1B
DDX28	DDX28
ARHGEF7	ARHGEF7
SSH2	SSH2
NME5	NME5
CCDC97	CCDC97
OC90	OC90
MFSD8	MFSD8
ARMH2	ARMH2
WDR44	WDR44
COQ5	COQ5
C6orf132	C6orf132
RNF216	RNF216
POU2AF1	POU2AF1
DDX52	DDX52
RAB3GAP1	RAB3GAP1
METTL2B	METTL2B
USF3	USF3
FAM47A	FAM47A
PLEKHG5	PLEKHG5
GOLGA7	GOLGA7
KRT12	KRT12
SLC24A5	SLC24A5
TTR	TTR
GAB4	GAB4
ATP7A	ATP7A
PLA2G15	PLA2G15
CACNG5	CACNG5
DPF1	DPF1
SLC17A8	SLC17A8
CCSER1	CCSER1
DBF4B	DBF4B
TMEM255B	TMEM255B
USP17L23	USP17L23
CFAP157	CFAP157
CCP110	CCP110
RBM22	RBM22
TBL2	TBL2
CRYM	CRYM
OGFR	OGFR
GTF2I	GTF2I
PRELID3A	PRELID3A
CLEC11A	CLEC11A
EHBP1L1	EHBP1L1
SLC17A2	SLC17A2
BTN2A1	BTN2A1
GAGE6	GAGE6
STRC	STRC
HECTD1	HECTD1
H2BC11	H2BC11
ZNF473	ZNF473
FSHB	FSHB
TNF	TNF
TC2N	TC2N
TRIB1	TRIB1
ZNF845	ZNF845
SCAF8	SCAF8
RCCD1	RCCD1
ZNF66	ZNF66
NOVA2	NOVA2
PHF14	PHF14
TBC1D2	TBC1D2
HCFC2	HCFC2
DEFA4	DEFA4
INCA1	INCA1
TLR6	TLR6
RNF40	RNF40
CCDC51	CCDC51
ZBTB25	ZBTB25
DPCD	DPCD
MMP13	MMP13
EXOC3L2	EXOC3L2
OR51E1	OR51E1
OR2AT4	OR2AT4
H3-5	H3-5
CEBPZ	CEBPZ
FAM246A	FAM246A
PRPF31	PRPF31
DYRK1A	DYRK1A
PPAN	PPAN
TMEM88	TMEM88
ENKUR	ENKUR
TRPC5	TRPC5
CSF3R	CSF3R
IMPDH2	IMPDH2
IFIT3	IFIT3
HGF	HGF
DCAF16	DCAF16
PLSCR3	PLSCR3
FIP1L1	FIP1L1
ARHGEF35	ARHGEF35
CHRNG	CHRNG
FZD10	FZD10
CACNA1F	CACNA1F
OR9G1	OR9G1
PNLDC1	PNLDC1
GPR84	GPR84
KCTD18	KCTD18
IBA57	IBA57
KAT7	KAT7
KPNB1	KPNB1
USH2A	USH2A
MCF2L2	MCF2L2
PILRB	PILRB
PCSK9	PCSK9
ZG16B	ZG16B
VASN	VASN
LIPJ	LIPJ
RETREG2	RETREG2
ABHD5	ABHD5
EDC4	EDC4
GTF2B	GTF2B
CALHM5	CALHM5
B3GNT8	B3GNT8
ACYP2	ACYP2
PHKB	PHKB
TCHH	TCHH
PRKACA	PRKACA
PLD1	PLD1
PICK1	PICK1
UBE2G2	UBE2G2
IL17D	IL17D
GHRH	GHRH
CWC15	CWC15
ITPK1	ITPK1
ACAA1	ACAA1
SLC6A2	SLC6A2
DARS1	DARS1
VCF2	VCF2
PLPPR1	PLPPR1
BICRA	BICRA
CANT1	CANT1
HORMAD2	HORMAD2
TGFB2	TGFB2
PTRH2	PTRH2
KAT6A	KAT6A
PTH2R	PTH2R
FGD3	FGD3
MARK2	MARK2
FAM83F	FAM83F
ZNF200	ZNF200
EIF5B	EIF5B
CHMP4C	CHMP4C
ADRA1B	ADRA1B
H2AC19	H2AC19
EDN1	EDN1
KIAA0232	KIAA0232
AKR1D1	AKR1D1
POTEC	POTEC
SHISA7	SHISA7
ZNF687	ZNF687
ZNF692	ZNF692
CYP24A1	CYP24A1
KLHL33	KLHL33
RERE	RERE
RHEBL1	RHEBL1
CCL7	CCL7
SLC35E3	SLC35E3
DEFB4A	DEFB4A
GP9	GP9
CDK4	CDK4
BATF	BATF
XCR1	XCR1
VCPIP1	VCPIP1
UGT2B15	UGT2B15
TYW1	TYW1
ELOVL6	ELOVL6
COMMD3	COMMD3
TMEM134	TMEM134
SPATA33	SPATA33
PFN1	PFN1
KLHL38	KLHL38
CHRNA1	CHRNA1
ACBD3	ACBD3
IL36B	IL36B
LCN9	LCN9
RALA	RALA
BLM	BLM
GAD2	GAD2
PPP2R5A	PPP2R5A
FAXDC2	FAXDC2
TRIQK	TRIQK
MYO9A	MYO9A
ENTPD2	ENTPD2
ANKRD29	ANKRD29
TAF11L13	TAF11L13
SART1	SART1
TSNAX	TSNAX
USP17L1	USP17L1
H4C14	H4C14
ATP5MC2	ATP5MC2
IFITM2	IFITM2
GRIPAP1	GRIPAP1
CCZ1B	CCZ1B
CENPVL3	CENPVL3
TRIM32	TRIM32
ZFY	ZFY
SCMH1	SCMH1
FKTN	FKTN
ETNPPL	ETNPPL
ZDHHC15	ZDHHC15
CTNNA3	CTNNA3
KIR3DS1	KIR3DS1
HCRTR2	HCRTR2
ABI1	ABI1
CHST5	CHST5
KLF1	KLF1
NIPSNAP3A	NIPSNAP3A
RPS4X	RPS4X
OR10H3	OR10H3
STRIP2	STRIP2
NALCN	NALCN
SLC35D1	SLC35D1
DIO3	DIO3
MBD1	MBD1
CHID1	CHID1
GLYATL2	GLYATL2
CCL3	CCL3
HCN4	HCN4
OR3A3	OR3A3
FBXO28	FBXO28
PDSS1	PDSS1
GASK1B	GASK1B
CHD3	CHD3
ETV5	ETV5
MED18	MED18
GATAD2A	GATAD2A
CEP250	CEP250
SRSF1	SRSF1
MCHR1	MCHR1
PCNA	PCNA
INMT	INMT
ZMYND10	ZMYND10
TIMD4	TIMD4
AP2B1	AP2B1
RTL9	RTL9
FAM221B	FAM221B
NLRP6	NLRP6
AQP12A	AQP12A
UAP1	UAP1
ANKH	ANKH
PNMA6A	PNMA6A
HFE	HFE
NUDT5	NUDT5
AIFM1	AIFM1
EOMES	EOMES
REG1B	REG1B
TANK	TANK
C14orf93	C14orf93
HAO2	HAO2
PPP1R3F	PPP1R3F
ATXN1	ATXN1
RAET1E	RAET1E
ZNF112	ZNF112
XYLB	XYLB
ZEB1	ZEB1
ACE	ACE
EFCC1	EFCC1
CDC42EP5	CDC42EP5
HSPE1	HSPE1
SETD3	SETD3
ZNF683	ZNF683
MYOF	MYOF
ABHD6	ABHD6
CFC1B	CFC1B
MRPS16	MRPS16
UBTF	UBTF
OLIG1	OLIG1
PMM2	PMM2
COQ8B	COQ8B
SLC7A6OS	SLC7A6OS
DOK5	DOK5
OR52I2	OR52I2
MAPK8	MAPK8
CTDSPL	CTDSPL
UNC45A	UNC45A
TMPRSS11B	TMPRSS11B
SSU72L3	SSU72L3
ACSL3	ACSL3
TBC1D22B	TBC1D22B
S100P	S100P
COBL	COBL
YAP1	YAP1
DDN	DDN
MRGPRX1	MRGPRX1
AKAP10	AKAP10
ZNF699	ZNF699
KLHDC9	KLHDC9
MYL10	MYL10
FIZ1	FIZ1
C2orf78	C2orf78
CHST7	CHST7
ACP1	ACP1
ORM1	ORM1
YES1	YES1
HERPUD2	HERPUD2
FOXO3B	FOXO3B
HEPHL1	HEPHL1
MLXIP	MLXIP
RBMY1E	RBMY1E
OR51C1P	OR51C1P
TBC1D25	TBC1D25
PTPN2	PTPN2
CAPN9	CAPN9
ERFE	ERFE
RPLP2	RPLP2
MN1	MN1
WFDC11	WFDC11
ZNF654	ZNF654
ST8SIA6	ST8SIA6
DCT	DCT
GNAS	GNAS
HMOX2	HMOX2
HYAL3	HYAL3
CPSF4	CPSF4
AZU1	AZU1
SERPINC1	SERPINC1
ACTN4	ACTN4
SNTB1	SNTB1
GCLC	GCLC
SMAP2	SMAP2
KHSRP	KHSRP
PNLIPRP3	PNLIPRP3
IGSF8	IGSF8
HMCES	HMCES
TOP2A	TOP2A
SLC2A9	SLC2A9
OR4D1	OR4D1
AMDHD2	AMDHD2
CLEC4C	CLEC4C
DENND4A	DENND4A
HSD17B10	HSD17B10
BIK	BIK
EVI2B	EVI2B
COX6A1	COX6A1
GSG1L	GSG1L
INTS12	INTS12
KCNJ2	KCNJ2
RGS7	RGS7
PKMYT1	PKMYT1
CD200R1L	CD200R1L
GPR142	GPR142
CA13	CA13
NDUFS3	NDUFS3
TNFSF13	TNFSF13
ERBB2	ERBB2
EGFL7	EGFL7
NLRP4	NLRP4
PRR36	PRR36
WIF1	WIF1
RNF26	RNF26
DGKD	DGKD
VSIG4	VSIG4
TOR1AIP2	TOR1AIP2
MLLT6	MLLT6
FAM72A	FAM72A
EEPD1	EEPD1
CRYBG1	CRYBG1
DDHD1	DDHD1
TFR2	TFR2
RPL37A	RPL37A
ACP3	ACP3
AGRP	AGRP
KRT31	KRT31
MMP16	MMP16
NPPA	NPPA
ATP1B4	ATP1B4
FHOD1	FHOD1
PLEKHJ1	PLEKHJ1
NR1D1	NR1D1
PLXDC1	PLXDC1
SSX2IP	SSX2IP
FBXW11	FBXW11
MAG	MAG
ZNF662	ZNF662
SYNJ2	SYNJ2
RIPOR1	RIPOR1
SNX13	SNX13
DYNC1I1	DYNC1I1
FBXW9	FBXW9
CFAP90	CFAP90
DGKK	DGKK
SSX7	SSX7
SLC7A3	SLC7A3
PTRHD1	PTRHD1
MIEF2	MIEF2
IL17REL	IL17REL
CEBPB	CEBPB
TYROBP	TYROBP
SMAGP	SMAGP
FSCN2	FSCN2
HNRNPA3	HNRNPA3
MRPL27	MRPL27
AP5S1	AP5S1
EI24	EI24
HLCS	HLCS
INPP5A	INPP5A
CAMSAP2	CAMSAP2
NECTIN3	NECTIN3
POLE3	POLE3
HSPA12A	HSPA12A
SHC1	SHC1
PARP1	PARP1
TPM3	TPM3
TTC28	TTC28
SULF2	SULF2
ADGRB3	ADGRB3
LGALS7	LGALS7
TPRKB	TPRKB
CEP295	CEP295
RHOT2	RHOT2
NAPEPLD	NAPEPLD
RNF169	RNF169
DPYSL5	DPYSL5
PRAMEF19	PRAMEF19
MYL6B	MYL6B
PHOX2A	PHOX2A
ZNF296	ZNF296
NDUFAF8	NDUFAF8
PKIG	PKIG
HMMR	HMMR
CSTPP1	CSTPP1
PITHD1	PITHD1
AKR1C8	AKR1C8
SHCBP1L	SHCBP1L
IQCB1	IQCB1
COX5B	COX5B
ORC4	ORC4
ITIH5	ITIH5
GOLGA6L26	GOLGA6L26
LTB4R2	LTB4R2
CFAP69	CFAP69
SLFN12	SLFN12
SLC39A7	SLC39A7
GIMAP1	GIMAP1
ABCF2-H2BK1	ABCF2-H2BK1
ZNF580	ZNF580
MRPL42	MRPL42
DGKI	DGKI
RBAK-RBAKDN	RBAK-RBAKDN
ATM	ATM
RAB11A	RAB11A
CPSF4L	CPSF4L
CTTNBP2NL	CTTNBP2NL
ZNF415	ZNF415
KIZ	KIZ
CPSF6	CPSF6
CDKN1C	CDKN1C
DLX2	DLX2
KIFAP3	KIFAP3
SNX30	SNX30
BAAT	BAAT
NAT14	NAT14
SLC2A4	SLC2A4
PARP2	PARP2
BBS9	BBS9
HSD17B7	HSD17B7
ZDHHC21	ZDHHC21
INTS9	INTS9
MASP2	MASP2
FOXP2	FOXP2
EAPP	EAPP
OVCH2	OVCH2
FAM174B	FAM174B
SPMIP4	SPMIP4
LY6G5C	LY6G5C
ITGA6	ITGA6
UPK1B	UPK1B
CLCA4	CLCA4
TTC19	TTC19
SMIM17	SMIM17
TDG	TDG
TMTC3	TMTC3
TEX47	TEX47
HYAL1	HYAL1
MMP23B	MMP23B
CHUK	CHUK
PRDM13	PRDM13
LURAP1L	LURAP1L
ENTPD5	ENTPD5
ZNF716	ZNF716
MYH14	MYH14
TMA7B	TMA7B
UNC50	UNC50
CD55	CD55
BOP1	BOP1
KLRG1	KLRG1
TMEM132A	TMEM132A
CNBP	CNBP
STARD10	STARD10
CLCN1	CLCN1
MMP1	MMP1
SCAF11	SCAF11
MYCBP2	MYCBP2
RCOR1	RCOR1
CNNM1	CNNM1
CYP20A1	CYP20A1
DDO	DDO
TMTC1	TMTC1
PDAP1	PDAP1
STPG1	STPG1
OR6C3	OR6C3
ENOX1	ENOX1
EBF4	EBF4
NOC4L	NOC4L
SULT1A3	SULT1A3
SNAP91	SNAP91
THAP6	THAP6
ZNF835	ZNF835
DDR2	DDR2
ZNF493	ZNF493
OR1I1	OR1I1
CBX3	CBX3
PPP1R3A	PPP1R3A
KIF4A	KIF4A
ABHD13	ABHD13
BCL2L12	BCL2L12
ANKRD40CL	ANKRD40CL
RAB32	RAB32
DNAJB9	DNAJB9
GPR132	GPR132
ARMCX1	ARMCX1
CDHR4	CDHR4
SMIM40	SMIM40
PRR20E	PRR20E
RAMP2	RAMP2
PKHD1L1	PKHD1L1
RGS3	RGS3
MOV10	MOV10
CBX1	CBX1
ZC3HAV1	ZC3HAV1
AUTS2	AUTS2
STAM	STAM
GRIN3B	GRIN3B
GSTZ1	GSTZ1
SYT4	SYT4
QRSL1	QRSL1
HYI	HYI
TINAGL1	TINAGL1
POMZP3	POMZP3
DSG2	DSG2
STEAP1	STEAP1
TEX13C	TEX13C
GIGYF2	GIGYF2
ZNF655	ZNF655
WDR25	WDR25
LRRC3	LRRC3
IVL	IVL
MALSU1	MALSU1
RNF2	RNF2
HGSNAT	HGSNAT
ANGPT2	ANGPT2
PPIF	PPIF
CEP68	CEP68
MAOA	MAOA
TULP4	TULP4
KCNK18	KCNK18
TRAPPC2	TRAPPC2
BANF2	BANF2
OR52E2	OR52E2
MORN3	MORN3
DNA2	DNA2
USP38	USP38
SUMF1	SUMF1
SPDL1	SPDL1
STT3B	STT3B
SLC6A12	SLC6A12
SLC8B1	SLC8B1
MAP3K10	MAP3K10
CHRNA10	CHRNA10
NDFIP2	NDFIP2
DCUN1D5	DCUN1D5
GRK7	GRK7
OMG	OMG
SLC16A11	SLC16A11
SMIM5	SMIM5
CLCN7	CLCN7
GBF1	GBF1
TAS2R39	TAS2R39
GINS4	GINS4
OR10A2	OR10A2
ITLN1	ITLN1
CCDC91	CCDC91
RAX2	RAX2
CAVIN2	CAVIN2
CACHD1	CACHD1
SENP8	SENP8
SBF2	SBF2
CAMK2A	CAMK2A
RPL26	RPL26
ASB3	ASB3
OR2AG2	OR2AG2
ATP2B2	ATP2B2
CSF2RB	CSF2RB
THAP4	THAP4
OR14I1	OR14I1
ATP6V1B2	ATP6V1B2
ZNF684	ZNF684
MAGEA12	MAGEA12
GIT2	GIT2
DCUN1D1	DCUN1D1
KLHL7	KLHL7
MOAP1	MOAP1
FMR1	FMR1
MRPS35	MRPS35
RHNO1	RHNO1
OR10S1	OR10S1
DUX4	DUX4
OR4A16	OR4A16
OSMR	OSMR
ADAMTS8	ADAMTS8
CIMAP1D	CIMAP1D
OGA	OGA
ADM5	ADM5
ANKRD22	ANKRD22
RFPL4B	RFPL4B
SLC25A22	SLC25A22
RDH16	RDH16
CAMK4	CAMK4
GBP1	GBP1
IST1	IST1
GRIK5	GRIK5
HSPA1L	HSPA1L
CDH5	CDH5
CDK5	CDK5
CHFR	CHFR
MFSD9	MFSD9
CCDC183	CCDC183
GOLGA8F	GOLGA8F
FXN	FXN
ZSCAN30	ZSCAN30
SYT3	SYT3
ZNF354C	ZNF354C
OR4C3	OR4C3
CYREN	CYREN
STAC2	STAC2
NPIPB15	NPIPB15
HTR2C	HTR2C
SPMAP1	SPMAP1
TLR8	TLR8
LILRA4	LILRA4
AVEN	AVEN
HYAL4	HYAL4
CKMT1A	CKMT1A
C9orf78	C9orf78
ABHD16B	ABHD16B
OR4K3	OR4K3
TMEFF1	TMEFF1
DNAJC18	DNAJC18
CDCP2	CDCP2
USP20	USP20
KRTAP2-1	KRTAP2-1
FASTKD1	FASTKD1
FOXE3	FOXE3
KIDINS220	KIDINS220
SFXN5	SFXN5
TRIM54	TRIM54
CCDC177	CCDC177
MAPK15	MAPK15
CPXCR1	CPXCR1
OSBPL7	OSBPL7
CIBAR2	CIBAR2
TARBP2	TARBP2
SVIP	SVIP
CADM4	CADM4
HOXC8	HOXC8
TBC1D32	TBC1D32
FOCAD	FOCAD
PCM1	PCM1
COPB1	COPB1
B4GALT2	B4GALT2
NTN4	NTN4
CD300LG	CD300LG
PSME4	PSME4
TXNDC15	TXNDC15
TEX2	TEX2
KRTAP9-6	KRTAP9-6
PPP6R2	PPP6R2
PIK3C3	PIK3C3
TNPO1	TNPO1
TIMMDC1	TIMMDC1
MTG2	MTG2
BTG3	BTG3
TRAPPC2L	TRAPPC2L
NCAPH	NCAPH
DUSP19	DUSP19
SLC25A46	SLC25A46
ANO1	ANO1
VEGFC	VEGFC
APBB1	APBB1
CACNG6	CACNG6
MYL12BP2	MYL12BP2
XKR8	XKR8
COL1A1	COL1A1
CD1B	CD1B
EIF4A2	EIF4A2
MPPED1	MPPED1
GPX2	GPX2
PPID	PPID
SMIM24	SMIM24
GET3	GET3
ITPA	ITPA
PNLIPRP1	PNLIPRP1
MPDU1	MPDU1
FBXL19	FBXL19
STX10	STX10
ZNF497	ZNF497
CAMKK2	CAMKK2
SPATA31F1	SPATA31F1
DFFA	DFFA
OR2A1	OR2A1
H4C4	H4C4
DNAAF9	DNAAF9
SLC24A4	SLC24A4
DPH1	DPH1
NEK4	NEK4
RIMKLA	RIMKLA
AKAP13	AKAP13
NUTM2F	NUTM2F
ROPN1L	ROPN1L
VDR	VDR
OR52N4	OR52N4
KDM4C	KDM4C
AKR1B1	AKR1B1
MAP7D1	MAP7D1
TEDDM1	TEDDM1
SNX31	SNX31
USP12	USP12
RBFOX3	RBFOX3
FAM246B	FAM246B
EXOC3L4	EXOC3L4
NACAD	NACAD
WFDC10B	WFDC10B
SERPINI2	SERPINI2
MAPK13	MAPK13
RPAP3	RPAP3
HNRNPH1	HNRNPH1
PXDNL	PXDNL
OR8J1	OR8J1
AZIN2	AZIN2
NBN	NBN
NTS	NTS
CD226	CD226
CHERP	CHERP
BNIP2	BNIP2
SEPTIN12	SEPTIN12
TBC1D28	TBC1D28
MRPL32	MRPL32
FOXL2	FOXL2
PMS1	PMS1
SLC30A5	SLC30A5
RHOJ	RHOJ
CARD19	CARD19
XAGE3	XAGE3
FHIP1A	FHIP1A
IGFL4	IGFL4
EARS2	EARS2
MZB1	MZB1
LRRC42	LRRC42
PRMT8	PRMT8
LINGO2	LINGO2
AK8	AK8
PIK3CA	PIK3CA
SLC4A5	SLC4A5
GNRH1	GNRH1
MUC8	MUC8
TIMM23	TIMM23
CRYBA2	CRYBA2
FYTTD1	FYTTD1
SUMF2	SUMF2
FHIP2A	FHIP2A
MRM1	MRM1
ID4	ID4
EEF2KMT	EEF2KMT
TMEM187	TMEM187
CEP15	CEP15
FBXW12	FBXW12
ERC1	ERC1
TENT5D	TENT5D
HAUS1	HAUS1
UBR3	UBR3
ADIG	ADIG
RHOXF1	RHOXF1
MRGPRD	MRGPRD
TIMM17A	TIMM17A
RAB8B	RAB8B
FADS1	FADS1
SUSD1	SUSD1
ZFYVE26	ZFYVE26
TNFSF11	TNFSF11
PDIA5	PDIA5
MXRA8	MXRA8
ZNF777	ZNF777
ZNF322	ZNF322
PRSS36	PRSS36
AKR1C3	AKR1C3
KRTAP9-8	KRTAP9-8
ZNF501	ZNF501
RORA	RORA
PDCD4	PDCD4
LRBA	LRBA
COX6C	COX6C
GADD45B	GADD45B
KRTAP13-2	KRTAP13-2
MS4A1	MS4A1
TOMM6	TOMM6
ID2	ID2
FUT5	FUT5
PPP1R2C	PPP1R2C
NTN3	NTN3
PFDN6	PFDN6
SNTB2	SNTB2
KLC1	KLC1
NOP56	NOP56
COX7B2	COX7B2
SEMA3C	SEMA3C
CCDC43	CCDC43
ELSPBP1	ELSPBP1
CRYAB	CRYAB
MORN5	MORN5
SLK	SLK
BHLHA15	BHLHA15
OR11G2	OR11G2
POM121L12	POM121L12
ZNF470-DT	ZNF470-DT
SPRR2E	SPRR2E
ADGRF4	ADGRF4
OR7A17	OR7A17
DYNC2I2	DYNC2I2
RNF144A	RNF144A
TCL1A	TCL1A
CYTH3	CYTH3
NCAN	NCAN
GGACT	GGACT
NPM3	NPM3
PRR15	PRR15
DEFB113	DEFB113
PGK1	PGK1
ZNF557	ZNF557
ZNF672	ZNF672
PRAMEF7	PRAMEF7
EIF2AK3	EIF2AK3
DVL2	DVL2
CLPTM1L	CLPTM1L
C7orf57	C7orf57
RWDD2A	RWDD2A
TRIM71	TRIM71
GSC2	GSC2
OR51A4	OR51A4
ST8SIA2	ST8SIA2
TOPORS	TOPORS
TRMO	TRMO
PLPP3	PLPP3
LHFPL6	LHFPL6
AADACL4	AADACL4
RNF115	RNF115
MIPOL1	MIPOL1
SPOCD1	SPOCD1
GRIN2B	GRIN2B
HIGD1C	HIGD1C
OR4K5	OR4K5
OR51S1	OR51S1
ATP5MF	ATP5MF
SCAF4	SCAF4
AKAP5	AKAP5
COMMD2	COMMD2
LIG3	LIG3
TMCO6	TMCO6
DEFB119	DEFB119
ARID3A	ARID3A
ESYT1	ESYT1
LDLR	LDLR
ALDH3B1	ALDH3B1
PTGIR	PTGIR
GGTLC1	GGTLC1
OTUD3	OTUD3
CDPF1	CDPF1
YARS1	YARS1
CHCHD2	CHCHD2
USP43	USP43
ROGDI	ROGDI
OR10G3	OR10G3
NRARP	NRARP
CCDC92B	CCDC92B
SDC1	SDC1
ZKSCAN7	ZKSCAN7
ZDHHC4	ZDHHC4
VWA5B1	VWA5B1
CPA3	CPA3
HBB	HBB
ABCB1	ABCB1
ENTREP3	ENTREP3
DPAGT1	DPAGT1
SRL	SRL
TIGD5	TIGD5
SYN1	SYN1
TMEM200B	TMEM200B
OR52J3	OR52J3
GABBR1	GABBR1
FOXK2	FOXK2
TAF4	TAF4
NEBL	NEBL
CIB4	CIB4
LYZL4	LYZL4
CA5A	CA5A
MDFIC2	MDFIC2
CC2D2B	CC2D2B
DLK1	DLK1
ZSCAN9	ZSCAN9
TMED4	TMED4
WDR45	WDR45
EMSY	EMSY
KLHL32	KLHL32
HEXIM1	HEXIM1
MAGEB17	MAGEB17
TAS2R3	TAS2R3
THPO	THPO
UGT2A2	UGT2A2
ST3GAL3	ST3GAL3
NUP133	NUP133
ALG6	ALG6
LARP6	LARP6
FAM111A	FAM111A
SENP1	SENP1
TIPIN	TIPIN
GPR87	GPR87
ALMS1	ALMS1
GTPBP4	GTPBP4
MUS81	MUS81
LILRB5	LILRB5
OR14C36	OR14C36
PPIG	PPIG
LDHAL6A	LDHAL6A
GCNT3	GCNT3
DDX24	DDX24
SRCIN1	SRCIN1
ZNF175	ZNF175
SMAD1	SMAD1
MTMR2	MTMR2
CD244	CD244
SLC25A18	SLC25A18
LHX4	LHX4
ARMCX4	ARMCX4
PPIL4	PPIL4
IFNB1	IFNB1
DECR1	DECR1
CNNM4	CNNM4
ERICH2	ERICH2
GAGE2C	GAGE2C
EVC2	EVC2
RNF17	RNF17
NSMF	NSMF
ARSH	ARSH
SQOR	SQOR
GDE1	GDE1
TRIM40	TRIM40
MYCT1	MYCT1
SLC14A2	SLC14A2
RNF125	RNF125
FSIP1	FSIP1
ZNF600	ZNF600
HMGB4	HMGB4
TECRL	TECRL
PIGZ	PIGZ
OR14K1	OR14K1
CCT2	CCT2
CHST8	CHST8
GEMIN8	GEMIN8
TMEM174	TMEM174
GDF2	GDF2
UPK3BL2	UPK3BL2
ACAD11	ACAD11
ESX1	ESX1
ZNF189	ZNF189
PRKN	PRKN
XCL1	XCL1
NPIPA1	NPIPA1
ITGA5	ITGA5
TNFSF13B	TNFSF13B
ETHE1	ETHE1
KCNQ5	KCNQ5
TMC7	TMC7
FAM24A	FAM24A
UQCRHL	UQCRHL
SETSIP	SETSIP
EDN3	EDN3
SCGB1D2	SCGB1D2
ASTN2	ASTN2
LRCH2	LRCH2
DUX5	DUX5
CCDC141	CCDC141
USP17L22	USP17L22
CTXND1	CTXND1
STXBP2	STXBP2
SMARCA4	SMARCA4
AKAP9	AKAP9
RASGEF1A	RASGEF1A
ZBTB10	ZBTB10
OSCP1	OSCP1
FGD5	FGD5
H2BC4	H2BC4
ANXA8L1	ANXA8L1
FAM222B	FAM222B
MR1	MR1
CNBD2	CNBD2
FBLN7	FBLN7
OR51I2	OR51I2
EXOSC10	EXOSC10
AFG2A	AFG2A
LENG9	LENG9
KCNJ6	KCNJ6
CCNC	CCNC
AK2	AK2
MAP3K20	MAP3K20
FAAH2	FAAH2
MEA1	MEA1
TJP1	TJP1
CDH11	CDH11
GDNF	GDNF
NONO	NONO
G0S2	G0S2
TMEM38B	TMEM38B
ARFGEF3	ARFGEF3
TMEM31	TMEM31
TP53TG3F	TP53TG3F
SMYD3	SMYD3
CATSPERE	CATSPERE
LRRC47	LRRC47
CCDC8	CCDC8
KRTAP10-7	KRTAP10-7
TSHR	TSHR
MAN2B2	MAN2B2
KRTAP4-5	KRTAP4-5
NKX2-1	NKX2-1
PPIE	PPIE
SPRR2A	SPRR2A
APMAP	APMAP
GPX6	GPX6
PACRGL	PACRGL
DIRAS3	DIRAS3
NLRX1	NLRX1
TRIM39	TRIM39
OR2AJ1	OR2AJ1
HTR1A	HTR1A
JPH3	JPH3
ATP2A2	ATP2A2
C11orf71	C11orf71
RMND5A	RMND5A
SOCS4	SOCS4
PUF60	PUF60
PLEKHS1	PLEKHS1
ABCA3	ABCA3
RPL32	RPL32
APELA	APELA
CD28	CD28
GABRR2	GABRR2
UBIAD1	UBIAD1
LSM10	LSM10
EID2B	EID2B
PRRT2	PRRT2
CFAP298	CFAP298
DNTTIP1	DNTTIP1
R3HDM4	R3HDM4
IQCJ	IQCJ
NUCKS1	NUCKS1
SPARCL1	SPARCL1
PGRMC1	PGRMC1
ERGIC3	ERGIC3
ZNF563	ZNF563
TMEM135	TMEM135
SERP2	SERP2
FCN2	FCN2
UBE2B	UBE2B
MGAM	MGAM
PSMA1	PSMA1
ZNF527	ZNF527
NFATC3	NFATC3
ABITRAM	ABITRAM
CCN1	CCN1
TIMM29	TIMM29
CAMP	CAMP
CHRNA2	CHRNA2
SMG8	SMG8
PFKFB4	PFKFB4
BUB3	BUB3
KIF22	KIF22
BAP1	BAP1
UGT1A4	UGT1A4
SHOX2	SHOX2
ZIC2	ZIC2
PPP2R2B	PPP2R2B
SMPD4	SMPD4
DIPK1B	DIPK1B
PIWIL3	PIWIL3
CHURC1	CHURC1
TMBIM1	TMBIM1
MBTPS1	MBTPS1
SLC36A2	SLC36A2
TAF11L11	TAF11L11
SLC22A5	SLC22A5
AP3D1	AP3D1
CCDC63	CCDC63
FGFR2	FGFR2
SETDB1	SETDB1
SUB1	SUB1
FGF19	FGF19
FBXO8	FBXO8
OVOL1	OVOL1
LRFN5	LRFN5
FAM90A10	FAM90A10
LCOR	LCOR
ZNF705D	ZNF705D
FGFBP2	FGFBP2
CASD1	CASD1
TEDC2	TEDC2
LYN	LYN
ARHGEF19	ARHGEF19
ARHGAP35	ARHGAP35
MRPL22	MRPL22
NBL1	NBL1
CYP7B1	CYP7B1
TWSG1	TWSG1
DTX2	DTX2
GSTM1	GSTM1
RPH3AL	RPH3AL
SUPT7L	SUPT7L
TMEM163	TMEM163
SMCHD1	SMCHD1
TAMALIN	TAMALIN
TRIM68	TRIM68
FERD3L	FERD3L
KRTAP16-1	KRTAP16-1
PRSS33	PRSS33
TREX1	TREX1
CENPH	CENPH
ZNF483	ZNF483
MINDY4	MINDY4
RASGEF1C	RASGEF1C
CFAP410	CFAP410
TPP1	TPP1
ARL17A	ARL17A
OCIAD2	OCIAD2
SMIM21	SMIM21
KIF20A	KIF20A
SORCS2	SORCS2
GPR15LG	GPR15LG
DCTD	DCTD
GTF2H2C	GTF2H2C
CAST	CAST
TFDP2	TFDP2
RIC3	RIC3
GJA8	GJA8
TP53BP2	TP53BP2
ZFAND1	ZFAND1
